规则编号,适用方向,依据字段,匹配方式,关键词,排除关键词,对手名称含,一级标签,二级标签,三级标签,优先级,备注
R0093,支出,摘要或备注,包含,溢缴款,,,经营类,退款交易,退款支出,980,词库
R0094,支出,摘要或备注,包含,保证金及利息,,,经营类,退款交易,退款支出,980,词库
R0095,支出,对手名称,包含,融资租赁,,,筹资类,负债,偿还融资租赁,970,词库
R0096,支出,对手名称,包含,金融租赁,,,筹资类,负债,偿还融资租赁,970,词库
R0097,支出,对手名称,包含,国际租赁,,,筹资类,负债,偿还融资租赁,970,词库
R0098,收入,摘要或备注,包含,电子退库,,,经营类,税收成本,税收返还,970,词库
R0099,收入,摘要或备注,包含,退税,,,经营类,税收成本,税收返还,970,词库
R0100,收入,摘要或备注,包含,个税,,,经营类,税收成本,税收返还,970,词库
R0101,收入,摘要或备注,包含,房产税,,,经营类,税收成本,税收返还,970,词库
R0102,收入,摘要或备注,包含,城市维护建设税,,,经营类,税收成本,税收返还,970,词库
R0103,收入,摘要或备注,包含,城市建设税,,,经营类,税收成本,税收返还,970,词库
R0104,收入,摘要或备注,包含,所得税,,,经营类,税收成本,税收返还,970,词库
R0105,收入,摘要或备注,包含,印花税,,,经营类,税收成本,税收返还,970,词库
R0106,收入,摘要或备注,包含,购置税,,,经营类,税收成本,税收返还,970,词库
R0107,收入,摘要或备注,包含,国税,,,经营类,税收成本,税收返还,970,词库
R0108,收入,摘要或备注,包含,地税,,,经营类,税收成本,税收返还,970,词库
R0109,收入,摘要或备注,包含,税款,,,经营类,税收成本,税收返还,970,词库
R0110,收入,摘要或备注,包含,交税,,,经营类,税收成本,税收返还,970,词库
R0111,收入,摘要或备注,包含,缴税,,,经营类,税收成本,税收返还,970,词库
R0112,收入,摘要或备注,包含,税金,,,经营类,税收成本,税收返还,970,词库
R0113,收入,摘要或备注,包含,税费,,,经营类,税收成本,税收返还,970,词库
R0114,收入,摘要或备注,包含,增值税,,,经营类,税收成本,税收返还,970,词库
R0115,收入,摘要或备注,包含,报税,,,经营类,税收成本,税收返还,970,词库
R0116,收入,摘要或备注,包含,税收,,,经营类,税收成本,税收返还,970,词库
R0117,收入,摘要或备注,包含,纳税,,,经营类,税收成本,税收返还,970,词库
R0118,收入,摘要或备注,包含,扣税,,,经营类,税收成本,税收返还,970,词库
R0119,收入,摘要或备注,包含,关税,,,经营类,税收成本,税收返还,970,词库
R0120,收入,对手名称,包含,待核对户,,,经营类,税收成本,税收返还,970,词库
R0121,收入,对手名称,包含,待对帐户,,,经营类,税收成本,税收返还,970,词库
R0122,收入,对手名称,包含,财库联网,,,经营类,税收成本,税收返还,970,词库
R0123,收入,摘要或备注,包含,Dshui,,,经营类,税收成本,税收返还,970,词库
R0124,收入,摘要或备注,包含,Gshui,,,经营类,税收成本,税收返还,970,词库
R0125,收入,摘要或备注,包含,TIPS税,,,经营类,税收成本,税收返还,970,词库
R0126,收入,对手名称,包含,待报解,,,经营类,税收成本,税收返还,970,词库
R0127,收入,摘要或备注,包含,三代手续费,,,经营类,税收成本,税收返还,970,词库
R0128,支出,摘要或备注,包含,保理款,,,筹资类,负债,偿还保理款,960,词库
R0129,支出,对手名称,包含,保理,,,筹资类,负债,偿还保理款,960,词库
